V1	C2	V3	C4
-0.17880794	-0.05890072	-0.17880794	-0.05890072
-0.06738487	-0.02203436	-0.06738487	-0.02203436
-0.02533036	-0.00833155	-0.02533036	-0.00833155
-0.00946074	-0.00320444	-0.00946074	-0.00320444
-0.00354015	-0.00128178	-0.00354015	-0.00128178
-0.00137333	-0.00036622	-0.00137333	-0.00036622
0.15384381	0.05038606	0.15384381	0.05038606
0.13623463	0.04464858	0.13623463	0.04464858
0.26285592	0.08597064	0.26285592	0.08597064
0.09897152	0.03234962	0.09897152	0.03234962
0.03720206	0.01232948	0.03720206	0.01232948
0.01403851	0.00454726	0.01403851	0.00454726
0.00524918	0.00170904	0.00524918	0.00170904
0.00195318	0.00061037	0.00195318	0.00061037
-0.17496261	-0.05743583	-0.17496261	-0.05743583
-0.14880826	-0.04882962	-0.14880826	-0.04882962
-0.34156317	-0.11239967	-0.34156317	-0.11239967
-0.12863551	-0.04229865	-0.12863551	-0.04229865
-0.04840235	-0.0159917	-0.04840235	-0.0159917
-0.01821955	-0.00592059	-0.01821955	-0.00592059
-0.00683615	-0.00222785	-0.00683615	-0.00222785
-0.00253304	-0.00094607	-0.00253304	-0.00094607
0.06051821	0.01986755	0.06051821	0.01986755
0.14413892	0.04739524	0.14413892	0.04739524
0.33314005	0.10928679	0.33314005	0.10928679
0.18903165	0.06186102	0.18903165	0.06186102
0.07119969	0.0232551	0.07119969	0.0232551
0.02679525	0.00872829	0.02679525	0.00872829
0.01001007	0.00338755	0.01001007	0.00338755
0.00375378	0.00125126	0.00375378	0.00125126
0.00137333	0.00051881	0.00137333	0.00051881
-0.16614276	-0.05456709	-0.16614276	-0.05456709
-0.14038515	-0.04599139	-0.14038515	-0.04599139
-0.24662007	-0.08105716	-0.24662007	-0.08105716
-0.09286782	-0.03054903	-0.09286782	-0.03054903
-0.03491317	-0.01156652	-0.03491317	-0.01156652
-0.01315348	-0.00439467	-0.01315348	-0.00439467
-0.00488296	-0.00180059	-0.00488296	-0.00180059
-0.00186163	-0.00061037	-0.00186163	-0.00061037
0.14712973	0.04846339	0.14712973	0.04846339
0.1371807	0.04504532	0.1371807	0.04504532
0.36161381	0.11847285	0.36161381	0.11847285
